# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/annals/age_V_09.json:EV-5021.body	night-shift order	->	Àithne na h-Oidhche	|	Vane's night-shift order is read at every pit-mouth fr
CHANGE	eras/age_V/annals/age_V_09.json:EV-5023.body	The Company	->	A' Chompanaidh	|	The Company brings crews up the tram-road
CHANGE	eras/age_V/annals/age_V_09.json:EV-5025.body	the Company's	->	A' Chompanaidh's	|	The potteries of Baile ghorm take the Company's contract for clay coal-lamp b
CHANGE	eras/age_V/annals/age_V_09.json:EV-5005.title	The Lamp-Watch's	->	Faire nan Lòchran's	|	The Lamp-Watch's purse runs dry
CHANGE	eras/age_V/annals/age_V_09.json:EV-5005.body	The Lamp-Watch	->	Faire nan Lòchran	|	The Lamp-Watch, keeping the households of th
CHANGE	eras/age_V/annals/age_V_09.json:EV-5026.body	the Company	->	A' Chompanaidh	|	' own scripture asks of a field. He does not name the Company; the chapel knows his meaning
CHANGE	eras/age_V/annals/age_V_09.json:EV-5027.body	the Company's	->	A' Chompanaidh's	|	Recalled within the season on the Company's complaint, Matthew Dunne, thr
CHANGE	eras/age_V/annals/age_V_09.json:EV-5027.body	The Lamp-Watch	->	Faire nan Lòchran	|	d goes down to the Ros dhomhain quay in the rain. The Lamp-Watch has a copy of his fallow-year
CHANGE	eras/age_V/annals/age_V_09.json:EV-5028.title	Donnchadh's cough	->	Casad Dhonnchaidh	|	The camps begin saying Donnchadh's cough
CHANGE	eras/age_V/annals/age_V_09.json:EV-5028.body	the lung-rot	->	Grodadh nan Scamhan	|	Among the Dia-thìrich hewers of Cnoc chaol the lung-rot spares more than it takes, un
CHANGE	eras/age_V/annals/age_V_09.json:EV-5028.body	Donnchadh's cough	->	Casad Dhonnchaidh	|	ter was born, call any such cough among their own Donnchadh's cough, and say no more.
CHANGE	eras/age_V/annals/age_V_09.json:EV-5006.body	The Residency	->	Taigh an Àrd-mhaoir	|	The Residency answers Iain Maor's letter wi
CHANGE	eras/age_V/annals/age_V_09.json:EV-5029.body	The Company's	->	A' Chompanaidh's	|	The Company's iron road opens from the pits
CHANGE	eras/age_V/annals/age_V_09.json:EV-5030.body	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	an among the ordinary births of the year, reaches the cellar at Muileann chaol folded into a roll like any o
CHANGE	eras/age_V/annals/age_V_09.json:EV-5007.body	the three households	->	Na Trì Teaghlaichean	|	 with a plain hand at his letters, is taken on by the three households of the cellar when Seònag Bhà
CHANGE	eras/age_V/annals/age_V_09.json:EV-5031.body	The Administration's count of the people	->	Cunntas an Riaghaltais	|	The Administration's count of the people passes through the cellar amo
CHANGE	eras/age_V/annals/age_V_09.json:EV-5031.body	the Residency's	->	Taigh an Àrd-mhaoir's	|	unt of the people passes through the cellar among the Residency's business the custodians think
CHANGE	eras/age_V/annals/age_V_09.json:EV-5032.body	the Administration's	->	Riaghaltas nan Coigreach's	|	A letter reaching the cellar notes that the Administration's surveyors, walking the edge o
CHANGE	eras/age_V/annals/age_V_09.json:EV-5034.body	the three households	->	Na Trì Teaghlaichean	|	Winter on winter the three households of the cellar copy the whole 
CHANGE	eras/age_V/annals/age_V_09.json:EV-5035.body	The three households	->	Na Trì Teaghlaichean	|	receipt for a delivery the cellar never received. The three households learn only then that a second
CHANGE	eras/age_V/annals/age_V_10.json:EV-5510.body	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	Copying the roll of the camp at Àth ìseal in the cellar at Muileann chaol, Cailean mac Eachainn reads p
CHANGE	eras/age_V/annals/age_V_10.json:EV-5511.title	the Line of Aisling	->	Sloinneadh Aisling	|	Ealasaid of Clann na Ceiste says the Line of Aisling
CHANGE	eras/age_V/annals/age_V_10.json:EV-5513.title	the Residency	->	Taigh an Àrd-mhaoir	|	The custodians' first return to the Residency: none
CHANGE	eras/age_V/annals/age_V_10.json:EV-5513.body	the Residency orders	->	Taigh an Àrd-mhaoir's orders	|	When the Residency orders every coal-touched child repo
CHANGE	eras/age_V/annals/age_V_10.json:EV-5513.body	the Commissioner's	->	An t-Àrd-mhaor's	|	dency orders every coal-touched child reported to the Commissioner's office, the custodians from C
CHANGE	eras/age_V/annals/age_V_10.json:EV-5514.title	the Company's	->	A' Chompanaidh's	|	A custodian of Cill ghlas answers the Company's agent
CHANGE	eras/age_V/annals/age_V_10.json:EV-5514.body	a Company agent	->	an agent of A' Chompanaidh	|	Asked by a Company agent whether she knows of any coal
CHANGE	eras/age_V/annals/age_V_10.json:EV-5503.body	the Residency	->	Taigh an Àrd-mhaoir	|	week before her death and said that she had asked the Residency once and meant to leave the a
CHANGE	eras/age_V/annals/age_V_10.json:EV-5517.title	the Residency	->	Taigh an Àrd-mhaoir	|	Edward Vane dies at the Residency
CHANGE	eras/age_V/annals/age_V_10.json:EV-5517.body	Commissioner	->	Àrd-mhaor	|	Commissioner Edward Vane, born at the Resi
CHANGE	eras/age_V/annals/age_V_10.json:EV-5517.body	the Residency	->	Taigh an Àrd-mhaoir	|	Commissioner Edward Vane, born at the Residency above Ros dhomhain, dies ther
CHANGE	eras/age_V/annals/age_V_10.json:EV-5518.body	the Company's	->	A' Chompanaidh's	|	ound and clears the village of every debt it owes the Company's own store, to the written com
CHANGE	eras/age_V/annals/age_V_10.json:EV-5518.body	the Company's	->	A' Chompanaidh's	|	 Company's own store, to the written complaint of the Company's agent.
CHANGE	eras/age_V/annals/age_V_10.json:EV-5519.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	Obadiah Renn, the Mission's minister at Cathair gheal's c
CHANGE	eras/age_V/annals/age_V_10.json:EV-5519.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	inding no scripture that knows a goose, writes to the Mission's house that the practice is ir
CHANGE	eras/age_V/annals/age_V_10.json:EV-5521.body	the wild goose of the Spirit	->	an Gèadh Fiadhaich	|	ls her the goose she keeps is an Gèadh Fiadhaich, the wild goose of the Spirit, wandered from Manannan's own
CHANGE	eras/age_V/annals/age_V_10.json:EV-5521.body	(appositive)	->	an Gèadh Fiadhaich	|	dropped the English gloss beside an Gèadh Fiadhaich
CHANGE	eras/age_V/annals/age_V_10.json:EV-5522.body	The Company posts	->	A' Chompanaidh's posts	|	The Company posts a new toll on every ton loade
CHANGE	eras/age_V/annals/age_V_10.json:EV-5524.body	The Company	->	A' Chompanaidh	|	The Company takes the names of every huma
CHANGE	eras/age_V/annals/age_V_10.json:EV-5508.title	the Lamp-Watch's	->	Faire nan Lòchran's	|	Eilidh nic Raghnaill given a seat at the Lamp-Watch's table
CHANGE	eras/age_V/annals/age_V_10.json:EV-5508.body	the Lamp-Watch	->	Faire nan Lòchran	|	ed, for the first time, to sit at the table where the Lamp-Watch keeps its business, and copie
CHANGE	eras/age_V/annals/age_V_10.json:EV-5508.body	no Company clerk	->	no clerk of A' Chompanaidh	|	 a second book kept in her own linen chest, where no Company clerk would think to look.
CHANGE	eras/age_V/annals/age_V_10.json:EV-5525.body	The Company engineer	->	A' Chompanaidh's engineer	|	The Company engineer Robert Fairley writes the cus
CHANGE	eras/age_V/annals/age_V_10.json:EV-5526.body	a Company ship	->	a ship of A' Chompanaidh	|	l ìseal counts forty casks of blasting-powder off a Company ship, told to her carters as lamp-
CHANGE	eras/age_V/annals/age_V_10.json:EV-5526.body	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	t her hand to them. Her line goes unanswered into the cellar at Muileann chaol with the rest of the year's r
CHANGE	eras/age_V/annals/age_V_10.json:EV-5509.body	the Lamp-Watch's	->	Faire nan Lòchran's	|	 closed ground. She writes nothing of the hour in the Lamp-Watch's book.
CHANGE	eras/age_V/annals/age_V_10.json:EV-5527.title	The Rending	->	Scàineadh Cill ghlas	|	The Rending kills the thirty-one
CHANGE	eras/age_V/annals/age_V_10.json:EV-5528.title	The Company fences	->	A' Chompanaidh's fences	|	The Company fences the closed district
CHANGE	eras/age_V/annals/age_V_10.json:EV-5528.body	the Residency's	->	Taigh an Àrd-mhaoir's	|	ce the district from Cill ghlas to Àth chaol, and the Residency's order forbids any wage or wor
CHANGE	eras/age_V/annals/age_V_10.json:EV-5531.body	the Administration's	->	Riaghaltas nan Coigreach's	|	At the Administration's inquiry at Ros dhomhain, the 
CHANGE	eras/age_V/annals/age_V_10.json:EV-5531.body	the Company's	->	A' Chompanaidh's	|	n, the fourth Steward Mòrag nic Iain Maor carries the Company's own staff into the room and t
CHANGE	eras/age_V/annals/age_V_11.json:EV-6010.body	any Company surveyor	->	any surveyor of A' Chompanaidh	|	 is the only settlement of the age raised without any Company surveyor's hand in it.
CHANGE	eras/age_V/annals/age_V_11.json:EV-6011.title	The Lamp-Watch	->	Faire nan Lòchran	|	The Lamp-Watch keeps the struck copy
CHANGE	eras/age_V/annals/age_V_11.json:EV-6011.body	the Company's	->	A' Chompanaidh's	|	A Dia-thìreach clerk who keeps the Company's own file copy of the inquiry'
CHANGE	eras/age_V/annals/age_V_11.json:EV-6011.body	the Lamp-Watch's	->	Faire nan Lòchran's	|	Eilidh nic Raghnaill copies it a second time into the Lamp-Watch's linen-chest book, the stricke
CHANGE	eras/age_V/annals/age_V_11.json:EV-6001.title	the grey fever	->	Am Fiabhras Glas	|	Tormod Buidhe's sister's boy dies of the grey fever
CHANGE	eras/age_V/annals/age_V_11.json:EV-6001.body	the grey fever	->	Am Fiabhras Glas	|	boy not yet old enough for his first wage dies of the grey fever at Baile thais under Eilidh n
CHANGE	eras/age_V/annals/age_V_11.json:EV-6001.body	the burial club's	->	Comann an Adhlacaidh's	|	what month it was. His mother keeps his name from the burial club's book, and Eilidh does not ask
CHANGE	eras/age_V/annals/age_V_11.json:EV-6002.title	the burial club's	->	Comann an Adhlacaidh's	|	Eilidh nic Raghnaill begins the burial club's book
CHANGE	eras/age_V/annals/age_V_11.json:EV-6002.body	the burial club	->	Comann an Adhlacaidh	|	ll begins keeping a plain hand-written record for the burial club at Baile thais, answering to 
CHANGE	eras/age_V/annals/age_V_11.json:EV-6012.title	the second petition	->	An Dàrna Athchuinge	|	Eilidh nic Raghnaill drafts the second petition
CHANGE	eras/age_V/annals/age_V_11.json:EV-6012.body	the burial club's	->	Comann an Adhlacaidh's	|	In the burial club's room at Baile thais, Eilidh n
CHANGE	eras/age_V/annals/age_V_11.json:EV-6012.body	the second petition	->	An Dàrna Athchuinge	|	 room at Baile thais, Eilidh nic Raghnaill drafts the second petition over three nights by a single
CHANGE	eras/age_V/annals/age_V_11.json:EV-6013.title	The Company	->	A' Chompanaidh	|	The Company dismisses Coinneach Ruadh at 
CHANGE	eras/age_V/annals/age_V_11.json:EV-6013.body	The Company's	->	A' Chompanaidh's	|	The Company's agent at Cnoc dhìreach delive
CHANGE	eras/age_V/annals/age_V_11.json:EV-6013.body	the second petition	->	An Dàrna Athchuinge	|	 the week's flour queue, the day his signature to the second petition dries. He is offered twice th
CHANGE	eras/age_V/annals/age_V_11.json:EV-6014.title	The Residency's	->	Taigh an Àrd-mhaoir's	|	The Residency's clerk underlines the petition
CHANGE	eras/age_V/annals/age_V_11.json:EV-6014.body	the Residency	->	Taigh an Àrd-mhaoir	|	A clerk of the Residency underlines in red ink the sec
CHANGE	eras/age_V/annals/age_V_11.json:EV-6014.body	the second petition's	->	An Dàrna Athchuinge's	|	A clerk of the Residency underlines in red ink the second petition's last sentence, that the hill 
CHANGE	eras/age_V/annals/age_V_11.json:EV-6014.body	the Administration	->	Riaghaltas nan Coigreach	|	e custodians afterward agree it is the first sign the Administration has read a Dia-thìrich word a
CHANGE	eras/age_V/annals/age_V_11.json:EV-6003.body	the burial club	->	Comann an Adhlacaidh	|	ell inside the new wall. Eilidh nic Raghnaill and the burial club watch the company make camp o
CHANGE	eras/age_V/annals/age_V_11.json:EV-6017.title	the Lamp-Watch	->	Faire nan Lòchran	|	dh nic Raghnaill reads Ìomhar Seabhag's sermon to the Lamp-Watch
CHANGE	eras/age_V/annals/age_V_11.json:EV-6017.body	the burial club's	->	Comann an Adhlacaidh's	|	 copy of Ìomhar Seabhag's Seann Skell sermon with the burial club's door-keeper at Baile thais, a
CHANGE	eras/age_V/annals/age_V_11.json:EV-6017.body	the second petition	->	An Dàrna Athchuinge	|	it aloud to the room by the same lamp she drafted the second petition by. For once she does not wri
CHANGE	eras/age_V/annals/age_V_11.json:EV-6019.body	the Administration's	->	Riaghaltas nan Coigreach's	|	ork, in silver struck in an Tìr Thall rather than the Administration's coin. None of it is ever spen
CHANGE	eras/age_V/annals/age_V_11.json:EV-6019.body	a Company clerk	->	a clerk of A' Chompanaidh	|	nistration's coin. None of it is ever spent where a Company clerk might see it change hands.
CHANGE	eras/age_V/annals/age_V_11.json:EV-6020.body	the Company's	->	A' Chompanaidh's	|	 Taigh-seinnse Reòta is never once found empty by the Company's carters passing through, and 
CHANGE	eras/age_V/annals/age_V_11.json:EV-6021.body	the coal road	->	Rathad na Mèinne	|	ks for the loft at An Taigh-seinnse Mòr travel up the coal road folded inside a psalter, as i
CHANGE	eras/age_V/annals/age_V_11.json:EV-6022.body	the coal road	->	Rathad na Mèinne	|	ing spring, and three years pass before anyone on the coal road speaks openly of what the fir
CHANGE	eras/age_V/annals/age_V_11.json:EV-6023.body	The Company's	->	A' Chompanaidh's	|	The Company's agent at the idle quay of Cao
CHANGE	eras/age_V/annals/age_V_11.json:EV-6023.body	the coal road	->	Rathad na Mèinne	|	os dhomhain that he has been forgotten. So far as the coal road ever hears, no answer comes b
CHANGE	eras/age_V/annals/age_V_11.json:EV-6024.body	the Residency's	->	Taigh an Àrd-mhaoir's	|	are while Lionel Strake's commission is read from the Residency's steps: it names the Company a
CHANGE	eras/age_V/annals/age_V_11.json:EV-6024.body	the Company	->	A' Chompanaidh	|	sion is read from the Residency's steps: it names the Company and the Administration in an 
CHANGE	eras/age_V/annals/age_V_11.json:EV-6024.body	the Administration	->	Riaghaltas nan Coigreach	|	m the Residency's steps: it names the Company and the Administration in an Tìr Thall, and, for the
CHANGE	eras/age_V/annals/age_V_11.json:EV-6024.body	Commissioner's	->	Àrd-mhaor's	|	n in an Tìr Thall, and, for the first time in any Commissioner's commission, does not name the
CHANGE	eras/age_V/annals/age_V_11.json:EV-6024.body	the Council of Custodians	->	Comhairle a' Chùraim	|	e in any Commissioner's commission, does not name the Council of Custodians at all.
CHANGE	eras/age_V/annals/age_V_11.json:EV-6007.body	the edict of seizure	->	Àithne a' Ghlacaidh	|	own doorstone by constables clearing houses under the edict of seizure asks only that it be written 
CHANGE	eras/age_V/annals/age_V_11.json:EV-6026.body	the Company's	->	A' Chompanaidh's	|	ivate hand her father taught her, kept apart from the Company's own tally, the same hand in w
CHANGE	eras/age_V/annals/age_V_11.json:EV-6026.body	the Lamp-Watch	->	Faire nan Lòchran	|	 at the pithead inquiry had first been copied for the Lamp-Watch.
CHANGE	eras/age_V/annals/age_V_11.json:EV-6028.body	The Company's	->	A' Chompanaidh's	|	 rows for clearance before the new gallery mouth. The Company's agent Osgood carries it to Mò
CHANGE	eras/age_V/annals/age_V_11.json:EV-6029.body	the Company	->	A' Chompanaidh	|	rather than be the one overseer left holding wood the Company has marked for treachery.
CHANGE	eras/age_V/annals/age_V_11.json:EV-6031.body	the silver guild's	->	Comann an Airgid's	|	hip was taken, brings Mòrag nic Iain Maor word of the silver guild's rifles and of a single counci
CHANGE	eras/age_V/annals/age_V_11.json:EV-6031.body	the sacred forest at Cnoc bheag	->	Coille Naomh Cnoc bheag	|	ouncil the custodians and priests mean to hold in the sacred forest at Cnoc bheag before autumn.
CHANGE	eras/age_V/annals/age_V_11.json:EV-6032.body	the sacred forest at Cnoc bheag	->	Coille Naomh Cnoc bheag	|	twenty-eight miles by night off the ridge road to the sacred forest at Cnoc bheag, and is among those who raise
CHANGE	eras/age_V/annals/age_V_11.json:EV-6008.body	the Residency	->	Taigh an Àrd-mhaoir	|	ed across every mining district at once, and that the Residency has already had its answer th
CHANGE	eras/age_V/annals/age_V_12.json:EV-6515.body	The Company's	->	A' Chompanaidh's	|	The Company's harbour-master at Ceann fhada
